cdb_code,name,pos_type,priority,address,city,county,department,district,territory,warehouse,chain,contractor,telephone,mobile,is_active
60-084379,ΚΡΑΤΟΥΝΑ ΕΛΕΝΗ & ΣΙΑ Ο.Ε,CONVENIENCE,,ΜΑΙΑΝΔΡΟΥ 83,ΕΥΟΣΜΟΣ,Π.Ε. ΘΕΣΣΑΛΟΝΙΚΗΣ,ΘΕΣΣΑΛΟΝΙΚΗ,4ALL (I.S.N.   A.E.),NORTH (TKO),N_T06. ΚΟΝΤΟΓΟΥΛΑ,,2316007435,,,True
60-060276,ΒΛΑΧΟΥ ΓΙΑΝΝΟΥΛΑ,ΠΕΡΙΠΤΕΡΟ,,ΠΛΑΤΕΙΑ ΧΑΤΖΗ-ΑΜΠΕΛΟΚΗΠΟΙ,ΙΩΑΝΝΙΝΑ,Π.Ε. ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΣ,NA,CENTRAL (DKR),C_08. ΚΙΤΣΙΟΥ,,,,,True
60-099689,ENA ΜΑΡΚΕΤ ΕΕ,ΨΙΛΙΚΟ,,Λ. ΔΩΔΩΝΗΣ 81,ΙΩΑΝΝΙΝΑ,Π.Ε. ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΣ,,CENTRAL (DKR),C_08. ΚΙΤΣΙΟΥ,,,,,True
60-079425,ΓΚΟΝΗΣ ΣΤΑΥΡΟΣ,ΠΕΡΙΠΤΕΡΟ,,7 ΧΛΜ ΕΘΝΙΚΗΣ ΙΩΑΝΝΙΝΩΝ-ΑΘΗΝΩΝ,ΙΩΑΝΝΙΝΑ,Π.Ε. ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΣ,NA,CENTRAL (DKR),C_08. ΚΙΤΣΙΟΥ,,,,,True
60-098893,ΒΑΣΙΟΣ ΣΤΕΦΑΝΟΣ,ΨΙΛΙΚΟ,,ΣΑΒΒΑ ΝΙΚΟΛΑΤΟΥ 53,ΙΩΑΝΝΙΝΑ-ΣΕΙΣΜΟΠΛΗΚΤ,Π.Ε. ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΣ,NA,CENTRAL (DKR),C_08. ΚΙΤΣΙΟΥ,,,,,True
60-095155,ΑΜΟΙΡΙΔΟΥ ΑΝΝΑ ΑΡΑΡΑΤ,ΨΙΛΙΚΟ,BaseLine,ΠΟΙΜΕΝΙΔΗ 6,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,Π.Ε. ΕΒΡΟΥ,ΘΡΑΚΗ,NORTH (TKO),N_T07. ΛΑΠΑΤΑ,ΖΑΧΑΡΙΑΔΗΣ ΑΦΟΙ Ο.Ε  (ΥΠΟΚ/ΜΑ),NA,JTI,2551034663,,True
60-080626,ΚΥΡΙΑΚΟΥ ΧΡΥΣΟΒΑΛΑΝΤΗΣ,ΠΕΡΙΠΤΕΡΟ,Strategic,ΚΑΡΑΟΛΗ ΔΗΜΗΤΡΙΟΥ & ΑΓΓΕΛΑΚΟΠΟ,ΛΑΡΙΣΑ,Π.Ε. ΛΑΡΙΣΑΣ,ΘΕΣΣΑΛΙΑ,NORTH (TKO),N_T09. ΦΥΛΑΚΤΟΠΟΥΛΟΥ,Σ. ΟΙΚΟΝΟΜΟΥ & ΣΙΑ ΟΕ,NA,JTI,2410625320,6957091026,True
60-086105,ΜΠΙΡΜΠΙΛΗΣ ΜΕΝΕΛΑΟΣ ΥΠΟΚ,ΨΙΛΙΚΟ,Strategic,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 184,ΑΡΚΑΛΟΧΩΡΙ,Π.Ε. ΗΡΑΚΛΕΙΟΥ,ΚΡΗΤΗ,EAST (NF),E_08_ΜΑΡΔΑΒΑΝΗ,Γ. ΣΤΕΦΑΝΟΓΛΟΥ ΚΑΙ ΣΙΑ ΟΕ,NA,JTI,6936909515,6936909515,True
60-085016,ΧΑΣΕΛΙΔΗΣ Ν.ΧΑΡΑΛΑΜΠΟΣ,ΨΙΛΙΚΟ,Strategic,ΚΟΙΜΗΣΕΩΣ ΘΕΟΤΟΚΟΥ 13,ΓΑΣΤΟΥΝΗ,Π.Ε. ΗΛΕΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΣ,WEST (STK),W_06. ΧΡΙΣΤΑΡΑ,ΣΠΕΝΤΖΑΡΗ Φ.- ΓΕΩΡΓΙΟΥ Γ.ΟΕ,NA,JTI,2623400276,6984572784,True
60-086857,ΚΑΤΣΑΜΠΟΥΛΑ ΕΛΕΝΗ,ΠΕΡΙΠΤΕΡΟ,Strategic,ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ 22,ΠΥΡΓΟΣ,Π.Ε. ΗΛΕΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΣ,WEST (STK),W_07. ΚΑΡΑΙΣΚΟΥ,Μ.Κ. ΠΕΤΡΟΓΙΑΝΝΗ & ΣΙΑ Ο.Ε.,NA,JTI,2621401573,6931116421,True
60-056489,ΑΝΔΡΕΑΔΟΥ ΜΥΡΟΦΟΡΑ,ΠΕΡΙΠΤΕΡΟ,Strategic,ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ 6,ΚΑΤΕΡΙΝΗ,Π.Ε. ΠΙΕΡΙΑΣ,ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,NORTH (TKO),N_T01. ΜΑΛΑΜΑ,ΙΩΑΝΝΙΔΗΣ ΝΙΚΟΛΑΟΣ M.I.K.E,NA,JTI,6999582011,6945971115,True
60-060267,ΚΑΡΑΓΙΩΡΓΑ ΠΗΝΕΛΟΠΗ,ΠΕΡΙΠΤΕΡΟ,Prime,ΝΕΟ ΠΑΤΡΩΝ ΑΘΗΝΩΝ 14,ΠΑΤΡΑ,Π.Ε. ΑΧΑΪΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΣ,WEST (STK),W_07. ΚΑΡΑΙΣΚΟΥ,ΓΙΑΝΝΑΚΟΠΟΥΛΟΣ ΑΕ,NA,JTI,2610431264,6979705713,True
60-072751,ASTRIT HAR.MUSKAJ,ΠΕΡΙΠΤΕΡΟ,Developing,ΠΛΑΤΕΙΑ ΦΡΕΙΔΕΡΙΚΗΣ,ΜΕΓΑΡΑ,Π.Ε. ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗ,WEST (STK),W_01. ΠΑΛΛΗ,ΣΙΑΦΑΚΑΣ Α.Ε,NA,JTI,2296026716,6979349077,True
60-100468,IQ STORES ΣΤΡΑΤΟΥ Ε.Ε.,CONVENIENCE,Strategic,ΛΕΩΦΟΡΟΣ ΣΤΡΑΤΟΥ 87,ΠΟΛΙΧΝΗ,Π.Ε. ΘΕΣΣΑΛΟΝΙΚΗΣ,ΘΕΣΣΑΛΟΝΙΚΗ,NORTH (TKO),N_T05. ΚΕΦΑΛΙΔΗ,ΦΩΚΙΔΗΣ ΑΕΒΕ,IQ STORES,JTI,2317009701,6976162785,True
60-060799,ΣΤΕΡΓΙΟΥ ΧΡΗΣΤΟΣ,ΠΕΡΙΠΤΕΡΟ,Strategic,ΑΣΚΛΗΠΙΟΥ 90,ΤΡΙΚΑΛΑ,Π.Ε. ΤΡΙΚΑΛΩΝ,ΘΕΣΣΑΛΙΑ,NORTH (TKO),N_T04. ΠΑΠΑΔΟΠΟΥΛΟΥ,ΑΓΓΕΛΑΚΗΣ Α ΕΥΑΓΓΕΛΟΣ,NA,JTI,2431302446,6988979257,True
60-056833,ΜΠΟΥΡΑΖΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΠΕΡΙΠΤΕΡΟ,Strategic,ΙΩΛΚΟΥ & ΓΑΖΗ,ΒΟΛΟΣ,Π.Ε. ΜΑΓΝΗΣΙΑΣ,ΘΕΣΣΑΛΙΑ,CENTRAL (DKR),C_06. ΠΑΣΧΑΛΟΥΔΗ,ΚΡΙΑΡΑ Μ.ΣΑΛΤΑΓΙΑΝΝΗΣ Χ&ΣΙΑ ΟΕ,NA,JTI,2421020511,6977975060,True
60-087969,ΣΕΡΑΝΗΣ ΜΑΡΙΟΣ (ΥΠΟΚ.),ΨΙΛΙΚΟ,Strategic,ΤΡΙΚΑΛΩΝ 277,ΚΑΡΔΙΤΣΑ,Π.Ε. ΚΑΡΔΙΤΣΑΣ,ΘΕΣΣΑΛΙΑ,NORTH (TKO),N_T09. ΦΥΛΑΚΤΟΠΟΥΛΟΥ,ΒΥΘΟΠΟΥΛΟΣ ΧΡ. ΙΚΕ,NA,JTI,2441022982,6986666293,True
60-093947,NIKA VJOLLCA,ΠΕΡΙΠΤΕΡΟ,Strategic,ΗΡΑΚΛΕΟΥΣ & ΛΟΞΗΣ ΦΑΛΑΓΓΟΣ,ΘΗΒΑ,Π.Ε. ΒΟΙΩΤΙΑΣ,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,EAST (NF),E_04. ΜΑΛΛΙΟΥ,ΣΤΑΜΑΤΗΣ Χ. Σ. & ΣΙΑ ΟΕ 3,NA,JTI,2262029354,6986841843,True
60-060251,BALLIU K. ALTIN,ΠΕΡΙΠΤΕΡΟ,Prime,ΚΟΤΖΙΑ 61(ΠΛ. 25ΗΣ ΜΑΡΤΙΟΥ),ΗΛΙΟΥΠΟΛΗ,Π.Ε. ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗ,CENTRAL (DKR),C_04. ΛΟΥΚΑ,ΔΗΜΗΤΡΙΟΣ ΑΛΕΞΙΟΥ A.E,NA,JTI,2109959357,6972534655,True
60-074337,ΣΤΑΥΡΙΑΝΟΥ ΣΩΤΗΡΙΑ,ΠΕΡΙΠΤΕΡΟ,Strategic,ΔΗΜΟΚΡΑΤΙΑΣ 154,ΠΑΤΡΑ,Π.Ε. ΑΧΑΪΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΣ,WEST (STK),W_06. ΧΡΙΣΤΑΡΑ,ΓΙΑΝΝΑΚΟΠΟΥΛΟΣ ΑΕ,NA,JTI,2610526157,6940452727,True
60-065538,ΚΟΡΠΕΤΙΝΟΣ ΔΙΟΝΥΣΙΟΣ,ΨΙΛΙΚΟ,Strategic,ΝΙΚΟΛΑΟΥ ΒΟΥΡΤΣΗ 62,ΒΑΡΘΟΛΟΜΙΟ,Π.Ε. ΗΛΕΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΣ,WEST (STK),W_06. ΧΡΙΣΤΑΡΑ,ΣΠΕΝΤΖΑΡΗ Φ.- ΓΕΩΡΓΙΟΥ Γ.ΟΕ,NA,JTI,2623042747,6982259104,True
60-056634,ΑΡΑΜΠΑΤΖΗ ΑΝΑΣΤΑΣΙΑ,ΠΕΡΙΠΤΕΡΟ,BaseLine,ΛΕΩΦΟΡΟΣ ΔΗΜΟΚΡΑΤΙΑΣ 243,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,Π.Ε. ΕΒΡΟΥ,ΘΡΑΚΗ,NORTH (TKO),N_T07. ΛΑΠΑΤΑ,ΖΑΧΑΡΙΑΔΗΣ ΑΦΟΙ Ο.Ε  (ΥΠΟΚ/ΜΑ),NA,JTI,2551029386,6932318240,True
60-098954,DANA K ALBANA,CONVENIENCE,Strategic,ΦΑΕΘΟΝΤΟΣ 18,ΚΥΨΕΛΗ,Π.Ε. ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗ,EAST (NF),E_05. ΨΥΧΑΛΟΠΟΥΛΟΥ,ΧΑΤΖΗΒΑΣΙΛΟΓΛΟΥ A.E.,NA,Competition,2108678080,6996378782,True
60-055666,EASY BUY Ο.Ε,ΨΙΛΙΚΟ,Prime,ΛΕΟΦΩΡΟΣ ΜΑΡΑΘΩΝΟΣ 54,ΑΝΟΙΞΗ,Π.Ε. ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗ,EAST (NF),E_01. ΤΣΟΥΚΑΛΑ,ΚΑΠΝΟΠΟΛΙΣ,NA,JTI,2106215668,6982759221,True
60-074374,ΑΧΥΡΚΙΔΟΥ Μ-ΜΠΟΤΗ,ΨΙΛΙΚΟ,BaseLine,ΚΟΥΤΑΒΟΥ 7,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,Π.Ε. ΕΒΡΟΥ,ΘΡΑΚΗ,NORTH (TKO),N_T07. ΛΑΠΑΤΑ,ΖΑΧΑΡΙΑΔΗΣ ΑΦΟΙ Ο.Ε  (ΥΠΟΚ/ΜΑ),NA,JTI,2551303073,6973418516,True
60-068420,Α.ΚΟΝΤΑΚΗ Α. ΠΑΠΑΚΩΣΤΑ  Ο.Ε.,ΨΙΛΙΚΟ,Strategic,ΑΝΤΡΕΑ ΠΑΠΑΝΔΡΕΟΥ 128,ΜΑΣΤΑΜΠΑΣ,Π.Ε. ΗΡΑΚΛΕΙΟΥ,ΚΡΗΤΗ,EAST (NF),E_08_ΜΑΡΔΑΒΑΝΗ,Γ. ΣΤΕΦΑΝΟΓΛΟΥ ΚΑΙ ΣΙΑ ΟΕ,NA,JTI,2810315666,6973250898,True
60-053132,ΠΗΛΙΟΣ ΚΩΣΤΑΣ ΑΗΔΩΝΗΣ,ΨΙΛΙΚΟ,BaseLine,ΒΑΛΑΩΡΙΤΟΥ16,ΚΑΛΑΜΑΤΑ,Π.Ε. ΜΕΣΣΗΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΣ,WEST (STK),W_08. ΚΑΛΛΙΝΤΕΡΗ,Β.ΠΟΛΥΧΡΟΝΟΠΟΥΛΟΥ & ΙΚΕ,NA,JTI,2721020706,6982079930,True
60-081648,GOLD KIOSK Ε.Ε.,ΨΙΛΙΚΟ,Strategic,ΚΟΥΡΤΙΔΟΥ 43,ΑΘΗΝΑ,Π.Ε. ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗ,CENTRAL (DKR),C_01. ΖΙΟΥΒΑ,Σ. Δ.ΣΤΑΥΡΟΠΟΥΛΟΣ ΔΙΑΝΟΜΕΣ ΑΕ,NA,JTI,6932917514,2108327171,True
60-099695,K2 UNION E.E.,CONVENIENCE,Strategic,ΚΑΦΑΝΤΑΡΗ 15,ΝΕΟΣ ΚΟΣΜΟΣ,Π.Ε. ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗ,CENTRAL (DKR),C_03. ΜΠΑΛΑΜΑΤΣΗ,ΔΗΜΗΤΡΙΟΣ ΑΛΕΞΙΟΥ A.E,4ALL (I.S.N.   A.E.),JTI,,6940087575,True
60-034550,ΛΕΧΟΥΡΙΤΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΨΙΛΙΚΟ,Prime,ΠΑΤΡΩΝ ΠΥΡΓΟΥ 126 ΑΚΤΗ ΔΥΜΑΙΩΝ,ΠΑΤΡΑ,Π.Ε. ΑΧΑΪΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΣ,WEST (STK),W_06. ΧΡΙΣΤΑΡΑ,ΓΙΑΝΝΑΚΟΠΟΥΛΟΣ ΑΕ,NA,JTI,2610528758,6946463303,True
60-053182,ΒΑΖΑΚΟΠΟΥΛΟΣ ΗΡΑΚΛΗΣ & ΣΙΑ Ο.Ε,ΠΕΡΙΠΤΕΡΟ,Developing,ΕΥΒΟΙΑΣ 151,ΠΑΤΡΑ,Π.Ε. ΑΧΑΪΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΣ,WEST (STK),W_06. ΧΡΙΣΤΑΡΑ,ΓΙΑΝΝΑΚΟΠΟΥΛΟΣ ΑΕ,VAZAKOPOULOS KIOSKS,JTI,2610329329,6942224660,True
60-055876,ΤΣΙΛΗ ΕΛΛΗ (ΥΠΟΚ),ΠΕΡΙΠΤΕΡΟ,Developing,ΕΥΒΟΙΑΣ 190,ΠΑΤΡΑ,Π.Ε. ΑΧΑΪΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΣ,WEST (STK),W_06. ΧΡΙΣΤΑΡΑ,ΓΙΑΝΝΑΚΟΠΟΥΛΟΣ ΑΕ,NA,Competition,,6943215199,True
60-062117,ΚΟΥΖΙΟΥ Χ.ΜΑΡΙΑ,ΠΕΡΙΠΤΕΡΟ,Developing,ΠΛΑΤΕΙΑ ΔΗΜΟΚΡΑΤΙΑΣ,ΚΑΤΩ ΑΧΑΙΑ,Π.Ε. ΑΧΑΪΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΣ,WEST (STK),W_06. ΧΡΙΣΤΑΡΑ,ΜΠΟΥΧΕΛΟΣ ΔΗΜ& ΥΙΟΙ ΟΕ       3,NA,JTI,2693022782,6938956641,True
60-063183,ΑΦΟΙ ΑΡΓΥΡΟΥ & ΣΙΑ Ο.Ε.,ΠΕΡΙΠΤΕΡΟ,Strategic,ΕΘΝΙΚΗΣ ΠΑΛΑΙΟΚΑΣΤΡΙΤΣΑΣ,ΚΕΡΚΥΡΑ,Π.Ε. ΚΕΡΚΥΡΑΣ,ΝΗΣΙΑ ΙΟΝΙΟΥ,CENTRAL (DKR),C_08. ΚΙΤΣΙΟΥ,ΚΑΥΚΙΑΣ ΚΩΝ/ΝΟΣ & ΣΙΑ ΟΕ,NA,JTI,2661024804,6972925208,True
60-055159,COMPLOI EYG.ANDREAS,ΠΕΡΙΠΤΕΡΟ,Strategic,ΠΑΤΡΩΝ 62,ΠΥΡΓΟΣ,Π.Ε. ΗΛΕΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΣ,WEST (STK),W_07. ΚΑΡΑΙΣΚΟΥ,Μ.Κ. ΠΕΤΡΟΓΙΑΝΝΗ & ΣΙΑ Ο.Ε.,NA,JTI,2621035976,6973625364,True
60-062102,ΠΑΠΑΔΟΠΟΥΛΟΥ ΠΑΝ.ΜΑΡΙΑ ΚΑΙ ΣΙΑ,ΨΙΛΙΚΟ,Strategic,ΑΚΡΩΤΗΡΙΟΥ 129,ΠΑΤΡΑ,Π.Ε. ΑΧΑΪΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΣ,WEST (STK),W_06. ΧΡΙΣΤΑΡΑ,ΓΙΑΝΝΑΚΟΠΟΥΛΟΣ ΑΕ,NA,JTI,2610327690,6948380037,True
60-074868,ΟΙΚΟΝΟΜΟΥ ΚΩΝΣΤΑΝΤΙΝΟΣ,SM,Strategic,ΒΑΣΙΛΙΚΩΝ 13,ΛΑΜΙΑ,Π.Ε. ΦΘΙΩΤΙΔΑΣ,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,CENTRAL (DKR),C_06. ΠΑΣΧΑΛΟΥΔΗ,ΝΙΚΟΛΑΟΣ ΒΕΤΤΑΣ ΙΚΕ,NA,JTI,2231025310,6973042875,True
60-085904,ΚΟΥΤΟΥΛΗ ΑΝΑΣΤ.ΔΩΡΟΘΕΑ,ΨΙΛΙΚΟ,Strategic,ΕΛΙΑΣ 6,ΒΕΡΟΙΑ,Π.Ε. ΗΜΑΘΙΑΣ,ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,NORTH (TKO),N_T06. ΚΟΝΤΟΓΟΥΛΑ,ΠΑΠΑΖΗΣΗ ΑΦΟΙ ΟΕ (ΥΠΟΚ.),NA,JTI,2331400210,6932668822,True
60-056995,ΚΑΡΑΚΕΧΑΓΙΑΣ ΘΕΟΧΑΡΗΣ,ΠΕΡΙΠΤΕΡΟ,Prime,ΣΤΑΥΡΟΣ (2),ΣΤΑΥΡΟΣ,Π.Ε. ΘΕΣΣΑΛΟΝΙΚΗΣ,ΘΕΣΣΑΛΟΝΙΚΗ,NORTH (TKO),N_T02. ΚΑΡΑΜΑΔΟΥΚΗ,ΓΕΦΩΞ ΑΕ,NA,Competition,2397061130,6972057513,True
